127.0.0.1 - - [18/Jul/2022:21:08:13 +0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:08:15 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:08:15 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:08:18 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:08:23 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:08:58 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:27:46 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:02 +0600] "POST /Frozen_Food_Ordering_System/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:02 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp?msg=invalid HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:09 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:17 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:52 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:53 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:53 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:21:28:56 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
