127.0.0.1 - - [07/Sep/2022:22:13:24 +0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:13:26 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:13:26 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:14:40 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:14:40 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:14:40 +0600] "GET /Frozen_Food_Ordering_System/css/home-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:14:59 +0600] "GET /Frozen_Food_Ordering_System/addToCartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:14:59 +0600] "GET /Frozen_Food_Ordering_System/home.jsp?msg=added HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:21 +0600] "GET /Frozen_Food_Ordering_System/myCart.jsp HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:24 +0600] "GET /Frozen_Food_Ordering_System/addressPaymentForOrder.jsp HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:24 +0600] "GET /Frozen_Food_Ordering_System/css/addressPaymentForOrder-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:32 +0600] "POST /Frozen_Food_Ordering_System/addressPaymentForOrderAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:32 +0600] "GET /Frozen_Food_Ordering_System/bill.jsp HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:32 +0600] "GET /Frozen_Food_Ordering_System/css/bill.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:15:59 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:16:22 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:16:22 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
