127.0.0.1 - - [30/Oct/2022:13:24:44 +0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:24:46 +0600] "GET /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:24:46 +0600] "GET /Frozen_Food_Ordering_System/login.jsp?msg=notexist HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:24:47 +0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:24:57 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:24:57 +0600] "GET /Frozen_Food_Ordering_System/admin/adminHome.jsp HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:16 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:16 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:22 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:22 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:39 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:39 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:41 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:44 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:46 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:25:53 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:26:18 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:27:22 +0600] "POST /Frozen_Food_Ordering_System/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:27:22 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp?msg=valid HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:27:27 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:27:50 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:27:50 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3434
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:28:21 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:28:21 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:30:37 +0600] "GET /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:30:37 +0600] "GET /Frozen_Food_Ordering_System/login.jsp?msg=notexist HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:31:04 +0600] "GET /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:31:04 +0600] "GET /Frozen_Food_Ordering_System/login.jsp?msg=notexist HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:30 +0600] "GET /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:30 +0600] "GET /Frozen_Food_Ordering_System/login.jsp?msg=notexist HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:35 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:35 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:54 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:32:54 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:33:00 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
